,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
34,Indonesia,1528,+114,136.0,14.0,81.0,1311,,6.0,0.5,Mar 01
35,Saudi Arabia,1453,,8.0,,115.0,1330,12.0,42.0,0.2,Mar 01
36,Finland,1418,+66,13.0,,10.0,1395,49.0,256.0,2.0,Jan 28
37,South Africa,1326,,3.0,,31.0,1292,7.0,22.0,0.05,Mar 04
38,India,1251,,32.0,,102.0,1117,,0.9,0.02,Jan 29
39,Greece,1212,,46.0,,52.0,1114,72.0,116.0,4.0,Feb 25
40,Mexico,1094,+101,28.0,8.0,35.0,1031,1.0,8.0,0.2,Feb 27
41,Iceland,1086,,2.0,,157.0,927,25.0,3182.0,6.0,Feb 27
42,Panama,1075,,27.0,,9.0,1039,43.0,249.0,6.0,Mar 09
43,Argentina,966,+146,24.0,1.0,228.0,714,,21.0,0.5,Mar 02
44,Peru,950,,24.0,,53.0,873,49.0,29.0,0.7,Mar 05
45,Dominican Republic,901,,42.0,,4.0,855,,83.0,4.0,Feb 29
46,Singapore,879,,3.0,,228.0,648,19.0,150.0,0.5,Jan 22
47,Slovenia,802,+46,15.0,4.0,10.0,777,24.0,386.0,7.0,Mar 03
48,Colombia,798,,14.0,,15.0,769,29.0,16.0,0.3,Mar 05
49,Croatia,790,,6.0,,67.0,717,27.0,192.0,1.0,Feb 24
50,Serbia,785,,16.0,,42.0,727,62.0,90.0,2.0,Mar 05
51,Estonia,745,+30,4.0,1.0,26.0,715,13.0,562.0,3.0,Feb 26
52,Hong Kong,714,+31,4.0,,128.0,582,5.0,95.0,0.5,Jan 22
53,Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
54,Qatar,693,,1.0,,51.0,641,6.0,241.0,0.3,Feb 28
55,Egypt,656,,41.0,,150.0,465,,6.0,0.4,Feb 13
56,New Zealand,647,+58,1.0,,74.0,572,2.0,134.0,0.2,Feb 27
57,Iraq,630,,46.0,,152.0,432,,16.0,1.0,Feb 21
58,UAE,611,,5.0,,61.0,545,2.0,62.0,0.5,Jan 28
59,Algeria,584,,35.0,,37.0,512,,13.0,0.8,Feb 24
60,Morocco,574,+18,33.0,,15.0,526,1.0,16.0,0.9,Mar 01
61,Ukraine,549,+1,13.0,,8.0,528,,13.0,0.3,Mar 02
62,Lithuania,533,+42,7.0,,7.0,519,27.0,196.0,3.0,Feb 27
63,Armenia,532,+50,3.0,,30.0,499,15.0,180.0,1.0,Feb 29
64,Bahrain,515,,4.0,,295.0,216,2.0,303.0,2.0,Feb 23
65,Hungary,492,+45,16.0,1.0,37.0,439,6.0,51.0,2.0,Mar 03
66,Lebanon,463,+17,12.0,1.0,35.0,416,7.0,68.0,2.0,Feb 20
67,Bosnia and Herzegovina,411,+43,10.0,,17.0,384,1.0,125.0,3.0,Mar 04
68,Latvia,398,+22,,,1.0,397,3.0,211.0,,Mar 01
69,Bulgaria,379,+20,8.0,,17.0,354,13.0,55.0,1.0,Mar 06
70,Andorra,370,,8.0,,10.0,352,10.0,4789.0,104.0,Mar 01
71,Slovakia,363,+27,,,7.0,356,1.0,66.0,,Mar 05
72,Tunisia,362,,9.0,,3.0,350,10.0,31.0,0.8,Mar 01
73,Kazakhstan,336,+34,2.0,1.0,22.0,312,6.0,18.0,0.1,Mar 12
74,Costa Rica,330,,2.0,,4.0,324,7.0,65.0,0.4,Mar 04
75,Taiwan,322,+16,5.0,,39.0,278,,14.0,0.2,Jan 20
76,Uruguay,320,,1.0,,25.0,294,9.0,92.0,0.3,Mar 12
77,Moldova,298,,2.0,,18.0,278,44.0,74.0,0.5,Mar 06
78,Kuwait,289,+23,,,73.0,216,13.0,68.0,,Feb 23
79,North Macedonia,285,,7.0,,12.0,266,1.0,137.0,3.0,Feb 25
80,Azerbaijan,273,,4.0,,26.0,243,23.0,27.0,0.4,Feb 27
81,Jordan,268,,5.0,,26.0,237,5.0,26.0,0.5,Mar 01
82,Burkina Faso,246,,12.0,,31.0,203,,12.0,0.6,Mar 08
83,Albania,243,+20,13.0,2.0,52.0,178,8.0,84.0,5.0,Mar 07
84,San Marino,230,,25.0,,13.0,192,16.0,6778.0,737.0,Feb 26
85,Cyprus,230,,7.0,,22.0,201,3.0,190.0,6.0,Mar 08
86,Réunion,224,,,,1.0,223,,250.0,,Mar 10
87,Vietnam,207,+3,,,55.0,152,3.0,2.0,,Jan 22
88,Cameroon,193,+54,6.0,,5.0,182,,7.0,0.2,Mar 05
89,Oman,192,+13,,,34.0,158,3.0,38.0,,Feb 23
90,Senegal,175,+13,,,40.0,135,,10.0,,Mar 01
91,Afghanistan,174,+4,4.0,,5.0,165,,4.0,0.1,Feb 23
92,Cuba,170,,4.0,,4.0,162,2.0,15.0,0.4,Mar 10
93,Faeroe Islands,169,+1,,,74.0,95,3.0,3459.0,,Mar 03
94,Malta,169,+13,,,2.0,167,2.0,383.0,,Mar 06
95,Ivory Coast,168,,1.0,,6.0,161,,6.0,0.04,Mar 10
96,Uzbekistan,158,+9,2.0,,7.0,149,8.0,5.0,0.06,Mar 14
97,Ghana,152,,5.0,,2.0,145,1.0,5.0,0.2,Mar 11
98,Belarus,152,,,,47.0,105,2.0,16.0,,Feb 27
99,Mauritius,143,+15,3.0,,,140,1.0,112.0,2.0,Mar 17
100,Honduras,141,+2,7.0,,3.0,131,4.0,14.0,0.7,Mar 10
101,Channel Islands,141,,3.0,1.0,,138,,811.0,17.0,Mar 08
102,Venezuela,135,,3.0,,39.0,93,6.0,5.0,0.1,Mar 12
103,Nigeria,135,+4,2.0,,8.0,125,,0.7,0.01,Feb 27
104,Sri Lanka,129,+7,2.0,,16.0,111,5.0,6.0,0.09,Jan 26
105,Brunei,129,+2,1.0,,45.0,83,3.0,295.0,2.0,Mar 08
106,Palestine,117,,1.0,,18.0,98,,23.0,0.2,Mar 04
107,Georgia,110,+7,,,21.0,89,6.0,28.0,,Feb 25
108,Cambodia,109,+2,,,23.0,86,1.0,7.0,,Jan 26
109,Bolivia,107,+10,6.0,2.0,,101,3.0,9.0,0.5,Mar 09
110,Kyrgyzstan,107,+13,,,3.0,104,,16.0,,Mar 17
111,Guadeloupe,106,,4.0,,17.0,85,10.0,265.0,10.0,Mar 12
112,Montenegro,105,+14,1.0,,,104,1.0,167.0,2.0,Mar 16
113,DRC,98,+17,8.0,,2.0,88,,1.0,0.09,Mar 09
114,Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
115,Trinidad and Tobago,85,+2,3.0,,1.0,81,,61.0,2.0,Mar 11
116,Mayotte,82,,,,10.0,72,3.0,301.0,,Mar 13
117,Rwanda,70,,,,,70,,5.0,,Mar 13
118,Gibraltar,69,,,,34.0,35,,2048.0,,Mar 02
119,Paraguay,65,+1,3.0,,1.0,61,3.0,9.0,0.4,Mar 06
120,Liechtenstein,64,+2,,,,64,,1679.0,,Mar 02
121,Isle of Man,60,+11,,,,60,,706.0,,Mar 18
122,Bangladesh,51,+2,5.0,,25.0,21,1.0,0.3,0.03,Mar 07
123,Kenya,50,,1.0,,1.0,48,2.0,0.9,0.02,Mar 12
124,Aruba,50,,,,1.0,49,,468.0,,Mar 12
125,Monaco,49,,1.0,,1.0,47,,1249.0,25.0,Feb 27
126,Madagascar,46,+3,,,,46,6.0,2.0,,Mar 19
127,French Guiana,43,,,,6.0,37,,144.0,,Mar 06
128,Macao,38,,,,10.0,28,,59.0,,Jan 21
129,Guatemala,36,,1.0,,10.0,25,1.0,2.0,0.06,Mar 12
130,Jamaica,36,,1.0,,2.0,33,,12.0,0.3,Mar 09
131,French Polynesia,36,,,,,36,2.0,128.0,,Mar 10
132,Zambia,35,,,,,35,,2.0,,Mar 17
133,Barbados,34,+1,,,,34,,118.0,,Mar 16
134,Uganda,33,,,,,33,,0.7,,Mar 20
135,El Salvador,32,+2,,,,32,5.0,5.0,,Mar 18
136,Togo,30,,1.0,,1.0,28,,4.0,0.1,Mar 05
137,Niger,27,,3.0,,,24,,1.0,0.1,Mar 18
138,Bermuda,27,,,,10.0,17,,434.0,,Mar 17
139,Mali,25,,2.0,,,23,,1.0,0.1,Mar 24
140,Ethiopia,25,+2,,,2.0,23,2.0,0.2,,Mar 12
141,Guinea,22,,,,,22,,2.0,,Mar 12
142,Tanzania,19,,1.0,1.0,1.0,17,,0.3,0.02,Mar 15
143,Congo,19,,,,,19,,3.0,,Mar 14
144,Djibouti,18,,,,,18,,18.0,,Mar 17
145,Maldives,18,+1,,,13.0,5,,33.0,,Mar 06
146,Gabon,16,+9,1.0,,,15,,7.0,0.4,Mar 12
147,New Caledonia,16,+1,,,,16,,56.0,,Mar 17
148,Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29
149,Eritrea,15,,,,,15,,4.0,,Mar 20
150,Haiti,15,,,,1.0,14,,1.0,,Mar 19
151,Myanmar,14,,1.0,1.0,,13,,0.3,0.02,Mar 22
152,Bahamas,14,,,,1.0,13,,36.0,,Mar 14
153,Cayman Islands,12,,1.0,,,11,,183.0,15.0,Mar 12
154,Dominica,12,,,,,12,,167.0,,Mar 21
155,Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
156,Mongolia,12,,,,2.0,10,,4.0,,Mar 09
157,Curaçao,11,,1.0,,2.0,8,,67.0,6.0,Mar 12
158,Namibia,11,,,,2.0,9,,4.0,,Mar 13
159,Syria,10,,2.0,,,8,,0.6,0.1,Mar 21
160,Greenland,10,,,,2.0,8,,176.0,,Mar 15
161,Seychelles,10,+2,,,,10,,102.0,,Mar 13
162,Grenada,9,,,,,9,,80.0,,Mar 21
163,Laos,9,+1,,,,9,,1.0,,Mar 23
164,Saint Lucia,9,,,,1.0,8,,49.0,,Mar 12
165,Eswatini,9,,,,,9,,8.0,,Mar 13
166,Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11
167,Zimbabwe,8,+1,1.0,,,7,,0.5,0.07,Mar 19
168,Guinea-Bissau,8,,,,,8,,4.0,,Mar 24
169,Libya,8,,,,,8,,1.0,,Mar 23
170,Mozambique,8,,,,,8,,0.3,,Mar 21
171,Suriname,8,,,,,8,,14.0,,Mar 12
172,Angola,7,,2.0,,1.0,4,,0.2,0.06,Mar 19
173,Sudan,7,+1,2.0,,,5,,0.2,0.05,Mar 12
174,Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
175,Chad,7,+2,,,,7,,0.4,,Mar 18
176,Saint Kitts and Nevis,7,,,,,7,,132.0,,Mar 24
177,Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
178,Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12
179,Benin,6,,,,1.0,5,,0.5,,Mar 15
180,Vatican City,6,,,,,6,,7491.0,,Mar 05
181,St. Barth,6,,,,1.0,5,,607.0,,Feb 29
182,Sint Maarten,6,,,,,6,,140.0,,Mar 17
183,Nepal,5,,,,1.0,4,,0.2,,Jan 23
184,Fiji,5,,,,,5,,6.0,,Mar 18
185,Montserrat,5,,,,,5,,1002.0,,Mar 17
186,Turks and Caicos,5,,,,,5,,129.0,,Mar 22
187,Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16
188,Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
189,Bhutan,4,,,,,4,,5.0,,Mar 05
190,Belize,3,,,,,3,,8.0,,Mar 22
191,Botswana,3,,,,,3,,1.0,,Mar 29
192,British Virgin Islands,3,+1,,,,3,,99.0,,Mar 24
193,CAR,3,,,,,3,,0.6,,Mar 14
194,Liberia,3,,,,,3,,0.6,,Mar 15
195,Somalia,3,,,,1.0,2,,0.2,,Mar 15
196,MS Zaandam,2,,,,,2,,,,Mar 26
197,Anguilla,2,,,,,2,,133.0,,Mar 25
198,Papua New Guinea,1,,,,,1,,0.1,,Mar 19
199,St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
200,Timor-Leste,1,,,,,1,,0.8,,Mar 20
201,China,81518,+79,3305.0,5.0,76052.0,2161,528.0,57.0,2.0,Jan 10
202,Total:,799998,"+15,283",38748.0,965.0,169995.0,591255,30281.0,102.6,5.0,
